Topic,Top Words
Topic 0,"time, book, people, car, place, visit, read, story, best, good"
Topic 1,"want, like, girl, life, love, year, im, guy, dont, friend"
Topic 2,"home, good, time, app, bring, phone, lake, foreign, theyre, gift"
Topic 3,"day, battle, year, im, question, month, old, time, quora, compare"
Topic 4,"police, note, hotel, money, safe, couple, rupee, black, staff, moral"
Topic 5,"energy, use, infinite, created, universe, time, word, gb, laptop, potential"
Topic 6,"job, company, good, want, year, learn, business, number, like, best"
Topic 7,"india, country, indian, visa, state, china, cost, world, make, think"
Topic 8,"average, desert, people, compare, temperature, cold, point, gobi, great, real"
Topic 9,"effect, student, earthquake, major, year, university, college, th, exam, engineering"
Topic 10,"person, people, message, friend, like, woman, facebook, sent, instagram, human"
Topic 11,"account, trump, email, president, password, make, state, matter, dont, donald"
